,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field5,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
2023-12-22 13:00:00+00:00,0.000322404,0.000268357,0.016239126,0.122642422,0,0,0.000108044,0.000169062,0.054180995,0.00262759,0.017224224,0,0.005963373,0.041004673,0.004963066
2023-12-22 14:00:00+00:00,0.00034638,9.72E-05,0.011938139,0.119532701,0,0,0.000107486,0,0.04938721,0.003962358,0.017504333,0,0.002744598,0.042028342,0.004986664
2023-12-22 15:00:00+00:00,0.000130634,0.000273486,0.011362938,0.123753538,0,0.238095238,0.000387807,0,0.056970428,0.004313205,0.018311579,0,0.003617711,0.045339198,0.003887689
2023-12-22 16:00:00+00:00,0,6.45E-05,0.01330141,0.134428072,0,0,0,0,0.054049758,0.005125577,0.016874789,0,0.003371906,0.048492792,0.000842976
2023-12-22 17:00:00+00:00,0,6.57E-05,0.005102867,0.108106368,0,,0,0.000451569,0.061772781,0.016448285,0.0123644,0,0.001681824,0.022690217,0
2023-12-22 18:00:00+00:00,0,0,0.003629032,0.098063526,0,0.5,0,0,0.036212792,0.002182612,0.009287926,0,0.00273619,0.009702887,0.000103252
2023-12-22 19:00:00+00:00,0,0.000391389,0.00943698,0.160212604,0,0,0,0.000394166,0.033124179,0.002475248,0.008517542,0,0.002121254,0.013584042,0
2023-12-22 20:00:00+00:00,0,9.66E-05,0.004880165,0.123664122,0,,0,0,0.032648763,0.002793296,0.007826432,0,0.002037697,0.017575823,0
2023-12-22 21:00:00+00:00,0.000192567,0.000194515,0.007426929,0.16425958,0,,0,0,0.041283322,0.000667111,0.032080861,0,0.005367561,0.012700025,0
2023-12-22 22:00:00+00:00,0,0,0.005563282,0.196774194,0,,0,0,0.045337621,0.006423983,0.012319712,0,0.003604194,0.012461059,0
2023-12-22 23:00:00+00:00,0,0.000532198,0.00255102,0.178270042,0,,0,0,0.050394657,0.001736111,0.026979472,0,0.004545455,0.006798097,0
2023-12-25 00:00:00+00:00,0,0,0.011986301,0.150731159,0,,0,0,0.128205128,0.008403361,0.025839793,0,0.009776536,0.009102731,0
2023-12-25 01:00:00+00:00,0.0008,0,0.017610063,0.164,0,,0,0,0.101470588,0.018292683,0.02207686,0,0.009972801,0.020792079,0
2023-12-25 02:00:00+00:00,0,0,0.036697248,0.233441911,0,,0,0,0.137784091,0.005847953,0.030480657,0,0.03125,0.040247678,0
2023-12-25 03:00:00+00:00,0,0,0.043209877,0.280225989,0,,0,0,0.150265957,0.005347594,0.026624068,0,0,0.050322581,0
2023-12-25 04:00:00+00:00,0.004962779,0.003649635,0.092105263,0.230769231,0,,0,0,0.115942029,0.015151515,0.108108108,0,0.017621145,0.070028011,0
2023-12-25 05:00:00+00:00,0.00219539,0.002098636,0.045075125,0.234906696,0,,0,0,0.11001642,0,0.088729017,0,0.012838802,0.04494382,0
2023-12-25 06:00:00+00:00,0.002437835,0,0.066282421,0.241833252,0,,0.004955401,0,0.111032028,0.001572327,0.069742489,0,0.013103038,0.202558635,0.002977963
2023-12-25 07:00:00+00:00,0.001826484,0.000890472,0.112350598,0.312328767,0,,0,0,0.15917202,0,0.135860979,0,0.050876201,0.118877551,0.000565291
2023-12-25 08:00:00+00:00,0,0.002057613,0.104950495,0.245362059,0,,0,0,0.097211155,0.011363636,0.125416204,0,0.011118833,0.138533178,0.002779708
